project,fingerprint_key,kind,access,origin
ghostpdl,stack-buffer-overflow|WRITE|pdf_optcontent.c|305|76989beeeb56600c,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|stream.c|999|53fd3d9fcfefa562,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-underflow|WRITE|pdf_xref.c|761|adfdedc1851419bb,stack-buffer-underflow,WRITE,expected
gpac,global-buffer-overflow|READ|av_parsers.c|4523|11c21a14f88be827,global-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|av_parsers.c|9881|120be33252c97192,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|bitstream.c|458|7088b1740ff046de,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|descriptors.c|1189|1f7f1d1cc2c981b1,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|dmx_m2ts.c|209|76c0a9ce00b2d400,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|filter.c|1546|2e47fd9490acc085,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|filter_props.c|1019|07c477f6521a9126,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|inspect.c|1029|85ac035beacf7284,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|inspect.c|201|8f2a3a42c7995c36,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|inspect.c|565|fc8704425fc4f217,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|m3u8.c|1255|3bb22a4a6289b003,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|reframe_mp3.c|645|e03ad350df730f22,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|reframe_mpgvid.c|428|6d606d96baa1b6f2,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|url.c|432|112a21cd7f7be482,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|READ|xml_parser.c|977|c0a6cfa31d5b3988,heap-buffer-overflow,READ,expected
gpac,heap-buffer-overflow|WRITE|base_encoding.c|300|da961218626c7be9,heap-buffer-overflow,WRITE,expected
gpac,heap-use-after-free|READ|dmx_gsf.c|1322|107b826386baed41,heap-use-after-free,READ,expected
gpac,heap-use-after-free|READ|dmx_ogg.c|132|400023ce8cd86b90,heap-use-after-free,READ,expected
gpac,heap-use-after-free|READ|mpegts.c|3141|a69c6443a2db5e59,heap-use-after-free,READ,expected
gpac,memcpy-param-overlap|-|reframe_mpgvid.c|739|768a94beafe595b6,memcpy-param-overlap,-,expected
gpac,negative-size-param|-|reframe_mpgvid.c|878|907c39fd328edd83,negative-size-param,-,expected
gpac,stack-buffer-overflow|READ|load_text.c|371|997033810c3fbf8c,stack-buffer-overflow,READ,expected
gpac,stack-buffer-overflow|WRITE|filter.c|1049|6d8551c4488d0e81,stack-buffer-overflow,WRITE,expected
gpac,stack-buffer-overflow|WRITE|mpegts.c|2475|4e512b1582ce9a88,stack-buffer-overflow,WRITE,expected
gpac,stack-buffer-overflow|WRITE|os_net.c|1895|63c4ff8bc77beb7a,stack-buffer-overflow,WRITE,expected
gpac,stack-buffer-overflow|WRITE|rtsp_session.c|153|d119fa117b29ee83,stack-buffer-overflow,WRITE,expected
gpac,stack-buffer-overflow|WRITE|rtsp_session.c|76|620b7542fb57fc49,stack-buffer-overflow,WRITE,expected
gpac,stack-buffer-overflow|WRITE|token.c|105|9918e3919d927564,stack-buffer-overflow,WRITE,expected
hdf5,heap-buffer-overflow|READ|H5FSsection.c|973|975b4f6ddf141b4d,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Faccum.c|898|2abb8ce0fb6d8c01,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Fio.c|556|13dc43d08b646c22,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Gnode.c|435|2fb8638ed5fd64e4,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5MM.c|172|0fa2b36bcd98a43e,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5MM.c|233|cdbdd16e30aeb6aa,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5MM.c|311|33d0c839d7174bec,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Ocache.c|1128|fe1db45ac37a573b,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Ochunk.c|185|9e1145f6af06a1e7,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|READ|H5Oshared.c|317|280679481cc687cd,heap-buffer-overflow,READ,expected
hdf5,heap-buffer-overflow|WRITE|H5FScache.c|1500|bddda56fc6b753e5,heap-buffer-overflow,WRITE,expected
hdf5,heap-use-after-free|READ|H5FL.c|1200|fad79c19bb6d330c,heap-use-after-free,READ,expected
libavc,heap-buffer-overflow|READ|ih264d_compute_bs.c|1181|57f3e585b15c622b,heap-buffer-overflow,READ,expected
libavc,heap-buffer-overflow|READ|isvcd_intra_resamp.c|2116|6561459fd68be5ea,heap-buffer-overflow,READ,expected
libavc,heap-buffer-overflow|READ|isvcd_mode_mv_resamp.c|1355|1ba29aa6a0602145,heap-buffer-overflow,READ,expected
libavc,heap-buffer-overflow|READ|isvcd_mode_mv_resamp.c|2622|cabb2c98ef38f28d,heap-buffer-overflow,READ,expected
libavc,heap-buffer-overflow|READ|isvcd_residual_resamp_sse42.c|113|1be2cf6332d9630e,heap-buffer-overflow,READ,expected
libavc,heap-buffer-overflow|WRITE|ih264d_format_conv.c|400|f94e04d741b6b1b5,heap-buffer-overflow,WRITE,expected
libavc,heap-buffer-overflow|WRITE|ih264d_format_conv.c|611|ffbb1528ebf672f0,heap-buffer-overflow,WRITE,expected
libavc,heap-buffer-overflow|WRITE|isvcd_intra_resamp.c|4811|8a3e5d9498055e91,heap-buffer-overflow,WRITE,expected
libavc,heap-buffer-overflow|WRITE|isvcd_parse_slice.c|298|31fe3ffbb96219dc,heap-buffer-overflow,WRITE,expected
libavc,heap-use-after-free|READ|ih264_inter_pred_filters_ssse3.c|394|08d8cd401a968ccc,heap-use-after-free,READ,expected
libavc,null-deref|READ|isvcd_parse_epslice.c|1908|6d2a20374698b2de,null-deref,READ,extra
libdwarf,heap-buffer-overflow|READ|dwarf_die_deliv.c|843|c18542e472bcdc56,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_form.c|707|a25ea47f4461cfcd,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_frame2.c|921|7655b27fd02e6a67,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_leb.c|243|623b6a5cbbd8a192,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_line.c|2107|e9f4b178b76ea6f2,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_line_table_reader_common.h|1023|8520f147cb184167,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_line_table_reader_common.h|1282|a8450fd1a8e2c653,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_line_table_reader_common.h|93|74cda5e1245cfbbe,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_locationop_read.c|700|1617d540ab476760,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_locationop_read.c|71|a1346283456c8d79,heap-buffer-overflow,READ,expected
libdwarf,heap-buffer-overflow|READ|dwarf_memcpy_swap.c|49|230186b3a876d59f,heap-buffer-overflow,READ,expected
libdwarf,heap-use-after-free|READ|dwarf_alloc.c|872|aae6543b8c2eb25b,heap-use-after-free,READ,expected
libdwarf,stack-buffer-overflow|READ|dwarf_query.c|1168|c05fd4361a487294,stack-buffer-overflow,READ,expected
libdwarf,stack-buffer-overflow|READ|dwarf_query.c|1943|64b09f4a38e637cc,stack-buffer-overflow,READ,expected
libraw,global-buffer-overflow|READ|wblists.cpp|28|15b12299289720bb,global-buffer-overflow,READ,expected
libraw,heap-buffer-overflow|READ|kodak_decoders.cpp|270|445263492f4b21e6,heap-buffer-overflow,READ,expected
libraw,heap-buffer-overflow|READ|load_mfbacks.cpp|362|6541c11f91b031ff,heap-buffer-overflow,READ,expected
libraw,heap-buffer-overflow|READ|xtrans_demosaic.cpp|230|270086c2cdb06b49,heap-buffer-overflow,READ,expected
libraw,heap-buffer-overflow|WRITE|libraw_datastream.cpp|372|cc54e64951410405,heap-buffer-overflow,WRITE,expected
libraw,heap-use-after-free|READ|read_utils.cpp|54|b4b83a5f631cca5e,heap-use-after-free,READ,expected
libraw,stack-buffer-overflow|WRITE|cr3_parser.cpp|243|840d66edaeeca7a7,stack-buffer-overflow,WRITE,expected
libraw,stack-buffer-overflow|WRITE|xtrans_demosaic.cpp|275|eb64d54964120f26,stack-buffer-overflow,WRITE,expected
libxml2,global-buffer-overflow|READ|HTMLparser.c|3371|686314c1b43c77ed,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|HTMLparser.c|5068|6ec6f96e80e56c84,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|dict.c|437|6768b073b20ec0f5,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|parser.c|2122|a95992ef53f22f7d,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|parser.c|8867|316540a030ef2338,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|parser.c|8867|5885be10e1a36950,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|parser.c|9949|d80799be87c72b5a,global-buffer-overflow,READ,expected
libxml2,global-buffer-overflow|READ|parserInternals.c|597|7029289d9ff4e2c2,global-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|capwap.c|69|640c4ee0f8b6bd0a,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|dns.c|144|3fb73b9e94d2c262,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|fix.c|38|308c6c3a3b1361af,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|h323.c|81|a78741655e96bf29,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|irc.c|680|2bd43056f5ff55df,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|memcached.c|162|94fe90f2c81be6ff,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|netbios.c|50|5acb7f9a4cfd7013,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|oracle.c|46|e1a0038d35c70501,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|oscar.c|145|8fe7e89c842aae0e,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|spotify.c|51|178d02692d5ce5bc,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|stun.c|354|539047bb861c342b,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|tls.c|596|fc69d098a0aeb071,heap-buffer-overflow,READ,expected
ndpi,heap-buffer-overflow|READ|yahoo.c|78|b69418be614573cb,heap-buffer-overflow,READ,expected
ndpi,stack-buffer-overflow|WRITE|tls.c|716|24e5244d1229600a,stack-buffer-overflow,WRITE,expected
ndpi,stack-use-after-scope|READ|kerberos.c|239|b49a92dfdd9975a5,stack-use-after-scope,READ,expected
openh264,heap-buffer-overflow|READ|deblocking_common.cpp|192|85b283545f82d0ce,heap-buffer-overflow,READ,expected
openh264,heap-buffer-overflow|READ|error_concealment.cpp|130|b023056eb8a112da,heap-buffer-overflow,READ,expected
openh264,heap-buffer-overflow|READ|error_concealment.cpp|450|6634eff6f3714b8b,heap-buffer-overflow,READ,expected
openh264,heap-buffer-overflow|READ|mc.cpp|361|378329fc0e175fb8,heap-buffer-overflow,READ,expected
openh264,heap-buffer-overflow|WRITE|decode_slice.cpp|1367|13b639615a63f30d,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|decode_slice.cpp|490|9cd7346b1d4d18f9,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|decode_slice.cpp|683|1ec26b676d24ee87,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|error_concealment.cpp|162|75c04df34c4a0338,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|manage_dec_ref.cpp|182|4a4dd47da8ed36f3,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|mv_pred.cpp|1180|d162ba8ee7c871c9,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|mv_pred.cpp|813|d251398f2b19f83a,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|mv_pred.cpp|840|54efe7471428bc57,heap-buffer-overflow,WRITE,expected
openh264,heap-buffer-overflow|WRITE|parse_mb_syn_cabac.cpp|166|76d6932cc2ad3acc,heap-buffer-overflow,WRITE,extra
openh264,heap-use-after-free|READ|decoder_core.cpp|2481|39665492c12ec7bd,heap-use-after-free,READ,extra
opensc,double-free|-|pkcs15.c|2035|fbda4a1dd693e1a5,double-free,-,expected
opensc,heap-buffer-overflow|READ|card-epass2003.c|1290|e3edbe146f7d3501,heap-buffer-overflow,READ,expected
opensc,heap-buffer-overflow|READ|pkcs15-lib.c|628|bb958919dd48a835,heap-buffer-overflow,READ,expected
opensc,heap-buffer-overflow|WRITE|pkcs15-epass2003.c|379|4de7b9e7b77400f7,heap-buffer-overflow,WRITE,expected
opensc,heap-buffer-overflow|WRITE|pkcs15-myeid.c|608|54be71c05b522473,heap-buffer-overflow,WRITE,expected
opensc,heap-buffer-overflow|WRITE|profile.c|1357|8c8639a415663745,heap-buffer-overflow,WRITE,expected
opensc,stack-buffer-overflow|READ|card-authentic.c|160|91da81474639fd36,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|card-authentic.c|188|75164954ffaa42c8,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|card-cardos.c|544|87b5fdc934fb921e,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|card-sc-hsm.c|927|e73305851fd48ffe,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|iasecc-sdo.c|220|2781104355e11c70,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|sc.c|278|f128094fd179e8fb,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|READ|sc.c|467|4dbe43d03c9141d7,stack-buffer-overflow,READ,expected
opensc,stack-buffer-overflow|WRITE|muscle.c|132|83b0b4a169d803f5,stack-buffer-overflow,WRITE,expected
opensc,stack-buffer-overflow|WRITE|pkcs15-lib.c|679|3f2799e73830e766,stack-buffer-overflow,WRITE,expected
openvswitch,double-free|-|match.c|1776|d9e75936d554da7c,double-free,-,expected
openvswitch,heap-buffer-overflow|READ|flow.c|420|ea38fed19cff1a83,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|READ|learn.c|51|8980635473021348,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|READ|odp-util.c|2527|eb93d912cb0171b1,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|READ|ofp-actions.c|5009|28c6546e5440b620,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|READ|ofp-port.c|1623|1186975f2e20dee6,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|READ|ofp-print.c|88|85eef4a1b5e48af6,heap-buffer-overflow,READ,expected
openvswitch,heap-buffer-overflow|WRITE|ofpbuf.c|473|f0c46c18312b65c6,heap-buffer-overflow,WRITE,expected
openvswitch,heap-use-after-free|READ|odp-util.c|2246|1f04408f7e3b1477,heap-use-after-free,READ,expected
openvswitch,heap-use-after-free|WRITE|ofp-actions.c|3963|20db60f59424efe9,heap-use-after-free,WRITE,expected
openvswitch,stack-buffer-overflow|READ|util.h|171|111f524bfd895e0a,stack-buffer-overflow,READ,expected
openvswitch,stack-buffer-underflow|READ|lex.c|341|e57f969412d44321,stack-buffer-underflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|BgpLayer.cpp|546|655ed0633bb3cac1,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|DnsResource.cpp|16|49b101efc59107bf,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|DnsResource.cpp|297|95d769a41fb83d3a,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|GreLayer.cpp|28|a3e5522611aa5e9d,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|IPv4Layer.h|493|050c382d350d855d,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|IPv6Extensions.h|51|176ad5cbb7edbb0c,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|IpAddress.h|204|f977036ff1413db7,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|SSLHandshake.cpp|1280|8ff0c898fe6e800c,heap-buffer-overflow,READ,expected
