locator,project,layer,association_key,member_oss_ids,member_count,original_harnesses,final_routes,type_hint,catalog_cwes,any_original_poc,any_aggregated_poc,any_original_log,any_aggregated_log,identity_status,verified_memory_bug
ghostpdl:expected:019,ghostpdl,catalog_associated,heap-use-after-free|READ|stell|stream.c,42505844,1,gstoraster_fuzzer,0,B,CWE-416,True,True,True,True,pending,False
ghostpdl:expected:020,ghostpdl,catalog_associated,memcpy-param-overlap|-|pdfi_set_input_stream|ghostpdf.c,42505830,1,gstoraster_fuzzer,0,X,CWE-475,True,True,True,True,pending,False
ghostpdl:expected:021,ghostpdl,catalog_associated,memcpy-param-overlap|-|recreate_multiple_master|gxfapi.c,42506261,1,gstoraster_fuzzer,0,X,CWE-475,True,True,True,True,pending,False
ghostpdl:expected:022,ghostpdl,catalog_associated,negative-size-param|-|general_endcidrange_func|pdf_cmap.c,42506064,1,gstoraster_fuzzer,0,X,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:023,ghostpdl,catalog_associated,stack-buffer-overflow|READ|pdf_compute_encryption_key_preR5|pdf_sec.c,42508844,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:024,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|fn_ElIn_evaluate|gsfunc3.c,42506658,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:025,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdf_cmap_open_file|pdf_cmap.c,42506350,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:026,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_annot_draw_LE_one|pdf_annot.c,42506402,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:027,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_annot_draw|pdf_annot.c,42505898,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:028,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_create_iccbased|pdf_colour.c,42506044,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:029,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_oc_is_ocg_visible|pdf_optcontent.c,42506541,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:030,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_open_CIDFont_substitute_file|pdf_font.c,42507791,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:031,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_read_cff_integer|pdf_font1C.c,42505863,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:032,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|pdfi_read_cff_real|pdf_font1C.c,42521255,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:033,ghostpdl,catalog_associated,stack-buffer-overflow|WRITE|stream_move|stream.c,42507931,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:034,ghostpdl,catalog_associated,stack-buffer-underflow|WRITE|read_xref_section|pdf_xref.c,42505859,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:extra:001,ghostpdl,extra_report,segv|-|i_free_object|gsalloc.c,42514830,1,gstoraster_fuzzer,0,,CWE-125,True,True,True,True,pending,False
gpac:expected:001,gpac,catalog_associated,global-buffer-overflow|READ|gf_mp3_bit_rate|av_parsers.c,42532406,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:002,gpac,catalog_associated,heap-buffer-overflow|READ|BS_ReadByte|bitstream.c,42531310,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:003,gpac,catalog_associated,heap-buffer-overflow|READ|dump_udta_m2v|inspect.c,42534289,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:004,gpac,catalog_associated,heap-buffer-overflow|READ|filter_parse_dyn_args|filter.c,42536591,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:005,gpac,catalog_associated,heap-buffer-overflow|READ|gf_inspect_dump_nalu_internal|inspect.c,42532226,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:006,gpac,catalog_associated,heap-buffer-overflow|READ|gf_m3u8_parse_sub_playlist|m3u8.c,42532234,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:007,gpac,catalog_associated,heap-buffer-overflow|READ|gf_odf_vvc_cfg_write_bs|descriptors.c,42535883,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:008,gpac,catalog_associated,heap-buffer-overflow|READ|gf_opus_parse_packet_header|av_parsers.c,42532961,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:009,gpac,catalog_associated,heap-buffer-overflow|READ|gf_props_assign_value|filter_props.c,42532144,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:010,gpac,catalog_associated,heap-buffer-overflow|READ|gf_url_to_fs_path|url.c,42531317,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:011,gpac,catalog_associated,heap-buffer-overflow|READ|inspect_get_nal_size|inspect.c,42533223,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:012,gpac,catalog_associated,heap-buffer-overflow|READ|m2tsdmx_declare_pid|dmx_m2ts.c,415855132,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:013,gpac,catalog_associated,heap-buffer-overflow|READ|mp3_dmx_process|reframe_mp3.c,42532309,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:014,gpac,catalog_associated,heap-buffer-overflow|READ|mpgviddmx_check_pid|reframe_mpgvid.c,42532587,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:015,gpac,catalog_associated,heap-buffer-overflow|READ|xml_sax_append_string|xml_parser.c,42531304,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:016,gpac,catalog_associated,heap-buffer-overflow|WRITE|gf_gz_decompress_payload_ex|base_encoding.c,42533348,1,fuzz_parse,0,A,CWE-787,True,True,True,True,pending,False
gpac:expected:017,gpac,catalog_associated,heap-use-after-free|READ|gf_m2ts_demux_del|mpegts.c,372994344,1,fuzz_m2ts_probe,2,B,CWE-416,True,True,True,True,pending,False
gpac:expected:018,gpac,catalog_associated,heap-use-after-free|READ|gsfdmx_finalize|dmx_gsf.c,368076877,1,fuzz_probe_analyze,1,B,CWE-416,True,True,True,True,pending,False
gpac:expected:019,gpac,catalog_associated,heap-use-after-free|READ|oggdmx_get_stream_info|dmx_ogg.c,42532326,1,fuzz_probe_analyze,1,B,CWE-416,True,True,True,True,pending,False
gpac:expected:020,gpac,catalog_associated,memcpy-param-overlap|-|mpgviddmx_process|reframe_mpgvid.c,42532171,1,fuzz_probe_analyze,1,X,CWE-475,True,True,True,True,pending,False
gpac:expected:021,gpac,catalog_associated,negative-size-param|-|mpgviddmx_process|reframe_mpgvid.c,42534138,1,fuzz_probe_analyze,1,X,CWE-787,True,True,True,True,pending,False
gpac:expected:022,gpac,catalog_associated,stack-buffer-overflow|READ|gf_text_get_utf8_line|load_text.c,42532396,1,fuzz_probe_analyze,1,A,CWE-125,True,True,True,True,pending,False
gpac:expected:023,gpac,catalog_associated,stack-buffer-overflow|WRITE|RTSP_UnpackURL|rtsp_session.c,42532195 42533592,2,fuzz_probe_analyze,1,A,CWE-787,True,True,True,True,pending,False
gpac:expected:024,gpac,catalog_associated,stack-buffer-overflow|WRITE|filter_solve_prop_template|filter.c,42532480,1,fuzz_probe_analyze,1,A,CWE-787,True,True,True,True,pending,False
gpac:expected:025,gpac,catalog_associated,stack-buffer-overflow|WRITE|gf_m2ts_get_adaptation_field|mpegts.c,42533061,1,fuzz_probe_analyze,1,A,CWE-787,True,True,True,True,pending,False
gpac:expected:026,gpac,catalog_associated,stack-buffer-overflow|WRITE|gf_sk_connect|os_net.c,42531925,1,fuzz_probe_analyze,1,A,CWE-787,True,True,True,True,pending,False
gpac:expected:027,gpac,catalog_associated,stack-buffer-overflow|WRITE|gf_token_get_line|token.c,42531371 42532845,2,fuzz_probe_analyze,1,A,CWE-125 CWE-787,True,True,True,True,pending,False
assimp:expected:001,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::CommentRemover::RemoveLineComments|RemoveComments.cpp,42486152,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:002,assimp,catalog_associated,"heap-buffer-overflow|READ|Assimp::Formatter::basic_formatter<char, std::char_traits<>, std::allocator<> >& Assimp::Formatter::basic_formatter<char, std::char_traits<>, std::allocator<> >::operator<<<>|TinyFormatter.h",42505068,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:003,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::HMPImporter::ReadFirstSkin|HMPLoader.cpp,42487095,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:004,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::IOStreamBuffer<>::getNextLine|IOStreamBuffer.h,42535669,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:005,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::LWO::AnimResolver::UpdateAnimRangeSetup|LWOAnimation.cpp,42517169,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:006,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MD3Importer::InternReadFile|MD3Loader.cpp,42535201,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:007,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MD5::MD5Parser::ParseSection|MD5Parser.cpp,42519284,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:008,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MD5::MD5Parser::SkipSpacesAndLineEnd|MD5Parser.h,42513776,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:009,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MDLImporter::InternReadFile|MDLLoader.cpp,42486096,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:010,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MDLImporter::ParseTextureColorData|MDLMaterialLoader.cpp,42514078,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:011,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::MDLImporter::SkipSkinLump_3DGS_MDL7|MDLMaterialLoader.cpp,42525767,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:012,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::ObjFileParser::getFace|ObjFileParser.cpp,42513611,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:013,assimp,catalog_associated,heap-buffer-overflow|READ|Assimp::ScenePreprocessor::ProcessMesh|ScenePreprocessor.cpp,42514191,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:014,assimp,catalog_associated,heap-buffer-overflow|READ|ODDLParser::OpenDDLParser::normalizeBuffer|OpenDDLParser.cpp,42494198,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:015,assimp,catalog_associated,heap-buffer-overflow|READ|ODDLParser::OpenDDLParser::parseIdentifier|OpenDDLParser.cpp,42486052,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:016,assimp,catalog_associated,heap-buffer-overflow|READ|aiTexel::operator!=|texture.h,42487028,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:017,assimp,catalog_associated,heap-buffer-overflow|READ|bool Assimp::SkipSpacesAndLineEnd<>|ParsingUtils.h,42511520,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:018,assimp,catalog_associated,heap-buffer-overflow|WRITE|Assimp::HMPImporter::CreateOutputFaceList|HMPLoader.cpp,42529229,1,assimp_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
assimp:expected:019,assimp,catalog_associated,heap-buffer-overflow|WRITE|Assimp::IOStreamBuffer<>::getNextDataLine|IOStreamBuffer.h,42486054,1,assimp_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
assimp:expected:020,assimp,catalog_associated,heap-buffer-overflow|WRITE|Assimp::PLYImporter::LoadVertex|PlyLoader.cpp,42535739,1,assimp_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
assimp:expected:021,assimp,catalog_associated,heap-buffer-overflow|WRITE|_m3d_safestr|m3d.h,42503905,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:022,assimp,catalog_associated,heap-use-after-free|READ|std::__shared_ptr<>::__shared_ptr<>|shared_ptr_base.h,42506530,1,assimp_fuzzer,0,B,CWE-416,True,True,True,True,pending,False
assimp:expected:023,assimp,catalog_associated,memcpy-param-overlap|-|unzReadCurrentFile|unzip.c,42505937,1,assimp_fuzzer,0,X,CWE-475,True,True,True,True,pending,False
assimp:expected:024,assimp,catalog_associated,stack-buffer-overflow|READ|Assimp::FileSystemFilter::Cleanup|FileSystemFilter.h,42495802,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:025,assimp,catalog_associated,stack-buffer-overflow|READ|Assimp::ZipArchiveIOSystem::Implement::MapArchive|ZipArchiveIOSystem.cpp,42502055,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
assimp:expected:026,assimp,catalog_associated,stack-buffer-overflow|READ|aiMaterial::AddBinaryProperty|MaterialSystem.cpp,42508951,1,assimp_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
PcapPlusPlus:expected:001,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|IPv6Address|IpAddress.h,42532853,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:002,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|__parse_options|light_pcapng.c,42534584,1,FuzzWriterNg,3,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:003,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|getCipherSuiteID|SSLHandshake.cpp,42530105,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:004,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|getDstIPv4Address|IPv4Layer.h,42525135,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:005,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|getPathAttributesLength|BgpLayer.cpp,42534378,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:006,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|getTtl|SomeIpSdLayer.cpp,42530108,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:007,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::DnsResource::getDataLength|DnsResource.cpp,42526050,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:008,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::GreLayer::getGREVersion|GreLayer.cpp,42525139,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:009,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::IDnsResource::IDnsResource|DnsResource.cpp,42525202,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:010,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::IPv6Extension::getExtensionLen|IPv6Extensions.h,42525129,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:011,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::SSLClientHelloMessage::SSLClientHelloMessage|SSLHandshake.cpp,42525350,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:012,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::SSLHandshakeMessage::getMessageLength|SSLHandshake.cpp,42526031,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:013,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::SipResponseFirstLine::SipResponseFirstLine|SipLayer.cpp,42525370,1,FuzzTarget,0,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:014,PcapPlusPlus,catalog_associated,heap-buffer-overflow|READ|pcpp::SomeIpSdEntry::SomeIpSdEntry|SomeIpSdLayer.cpp,42535137,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
PcapPlusPlus:expected:015,PcapPlusPlus,catalog_associated,heap-buffer-overflow|WRITE|pcpp::GREv1Layer::computeCalculateFields|GreLayer.cpp,42530090,1,FuzzTargetCoverage-followup,1,A,CWE-787,True,True,False,True,pending,False
PcapPlusPlus:expected:016,PcapPlusPlus,catalog_associated,heap-buffer-overflow|WRITE|pcpp::PPP_PPTPLayer::computeCalculateFields|GreLayer.cpp,42530184,1,FuzzTargetCoverage-followup,1,A,CWE-787,True,True,False,True,pending,False
PcapPlusPlus:expected:017,PcapPlusPlus,catalog_associated,negative-size-param|-|pcpp::RawPacket::insertData|RawPacket.cpp,42530091,1,FuzzTargetNg,2,X,CWE-787,True,True,False,True,pending,False
PcapPlusPlus:expected:018,PcapPlusPlus,catalog_associated,stack-buffer-overflow|READ|pcpp::NtpLayer::getReferenceIdentifierString|NtpLayer.cpp,42530230,1,FuzzTargetCoverage-followup,1,A,CWE-125,True,True,False,True,pending,False
ndpi:expected:001,ndpi,catalog_associated,heap-buffer-overflow|READ|check_ymsg|yahoo.c,42482045,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:002,ndpi,catalog_associated,heap-buffer-overflow|READ|getTLScertificate|tls.c,42480282,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:003,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_check_spotify|spotify.c,42484330,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:004,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_int_check_stun|stun.c,42479691,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:005,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_netbios_name_interpret|netbios.c,42482009,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:006,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_fix|fix.c,42482526,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:007,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_h323|h323.c,42483697,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:008,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_irc_tcp|irc.c,42482590,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:009,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_memcached|memcached.c,42480344,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:010,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_oracle|oracle.c,42483072,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:011,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_oscar_tcp_connect|oscar.c,42481695,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:012,ndpi,catalog_associated,heap-buffer-overflow|READ|ndpi_search_setup_capwap|capwap.c,42482207,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:013,ndpi,catalog_associated,heap-buffer-overflow|READ|search_valid_dns|dns.c,42482498,1,fuzz_process_packet,0,A,CWE-125,False,True,True,True,pending,False
ndpi:expected:014,ndpi,catalog_associated,stack-buffer-overflow|WRITE|getTLScertificate|tls.c,42480587,1,fuzz_process_packet,0,A,CWE-787,False,True,True,True,pending,False
ndpi:expected:015,ndpi,catalog_associated,stack-use-after-scope|READ|ndpi_search_kerberos|kerberos.c,42487144,1,fuzz_process_packet,0,,CWE-125,False,True,True,True,pending,False
opensc:expected:001,opensc,catalog_associated,attempting|-|sc_pkcs15_encode_df|pkcs15.c,42516458,1,fuzz_pkcs15init,0,C,CWE-415,True,True,True,True,pending,False
opensc:expected:002,opensc,catalog_associated,heap-buffer-overflow|READ|epass2003_hook_path|card-epass2003.c,42509982,1,fuzz_pkcs15init,0,A,CWE-125,True,True,True,True,pending,False
opensc:expected:003,opensc,catalog_associated,heap-buffer-overflow|READ|sc_pkcs15init_delete_by_path|pkcs15-lib.c,42510699,1,fuzz_pkcs15init,0,A,CWE-125,True,True,True,True,pending,False
opensc:expected:004,opensc,catalog_associated,heap-buffer-overflow|WRITE|cosm_new_file|pkcs15-epass2003.c,42509978,1,fuzz_pkcs15init,0,A,CWE-787,True,True,True,True,pending,False
opensc:expected:005,opensc,catalog_associated,heap-buffer-overflow|WRITE|do_fileid|profile.c,42509342,1,fuzz_pkcs15init,0,A,CWE-787,True,True,True,True,pending,False
opensc:expected:006,opensc,catalog_associated,heap-buffer-overflow|WRITE|myeid_create_key|pkcs15-myeid.c,42511938,1,fuzz_pkcs15init,0,A,CWE-787,True,True,True,True,pending,False
opensc:expected:007,opensc,catalog_associated,stack-buffer-overflow|READ|authentic_get_tagged_data|card-authentic.c,42518345,1,fuzz_pkcs15_encode,2,A,CWE-125,True,True,True,True,pending,False
opensc:expected:008,opensc,catalog_associated,stack-buffer-overflow|READ|authentic_parse_size|card-authentic.c,42517374,1,fuzz_pkcs15_encode,2,A,CWE-125,True,True,True,True,pending,False
opensc:expected:009,opensc,catalog_associated,stack-buffer-overflow|READ|cardos_list_files|card-cardos.c,42511654,1,fuzz_card,1,A,CWE-125,True,True,True,True,pending,False
opensc:expected:010,opensc,catalog_associated,stack-buffer-overflow|READ|iasecc_crt_parse|iasecc-sdo.c,42527518,1,fuzz_pkcs15init,0,A,CWE-125,True,True,True,True,pending,False
opensc:expected:011,opensc,catalog_associated,stack-buffer-overflow|READ|sc_format_oid|sc.c,42509373,1,fuzz_pkcs15init,0,A,CWE-125,True,True,True,True,pending,False
opensc:expected:012,opensc,catalog_associated,stack-buffer-overflow|READ|sc_hsm_list_files|card-sc-hsm.c,42510727,1,fuzz_card,1,A,CWE-125,True,True,True,True,pending,False
opensc:expected:013,opensc,catalog_associated,stack-buffer-overflow|READ|sc_path_print|sc.c,42518213,1,fuzz_pkcs15init,0,A,CWE-125,True,True,True,True,pending,False
opensc:expected:014,opensc,catalog_associated,stack-buffer-overflow|WRITE|msc_zero_object|muscle.c,42518451,1,fuzz_pkcs15init,0,A,CWE-787,True,True,True,True,pending,False
opensc:expected:015,opensc,catalog_associated,stack-buffer-overflow|WRITE|sc_pkcs15init_rmdir|pkcs15-lib.c,42518779,1,fuzz_pkcs15init,0,A,CWE-787,True,True,True,True,pending,False
