project,source_commit,catalog_base_date,catalog_base_method,catalog_candidate_score,benchmark_seat,catalog_admission,recorded_expected_unique,recorded_known_real_unique,recorded_total,observation_rows,recorded_expected_observations,recorded_expected_asan_observations,recorded_expected_crash_observations,recorded_expected_total_observations,summary_expected_signature_count,aggregation_method,aggregation_route_count,aggregation_expected_checked,aggregation_expected_matched,metadata_path
hunspell,6291cac8fb85a96f7e6d5a35f1912365f3b17ae9,2022-09-12,measured_sweep,8,not_selected,pending_manual_review,5,2,7,16,6,6,0,6,8,identity_single_source,1,8,6,data/measure/manual/hunspell/6291cac8fb85a96f7e6d5a35f1912365f3b17ae9.json
lcms,3d3001f0118984570a162d0b239d739529920e12,2022-07-24,wave_eve,14,not_selected,pending_manual_review,7,0,7,13,7,7,0,7,11,prefix,3,11,7,data/measure/manual/lcms/3d3001f0118984570a162d0b239d739529920e12.json
libavc,764ab7b702142762bfa9c4e93427c6e494ff7940,2023-02-15,measured_sweep,10,in_set,admitted,10,1,11,30,10,10,0,10,10,identity_single_source,1,10,10,data/measure/manual/libavc/764ab7b702142762bfa9c4e93427c6e494ff7940.json
libdwarf,2ee326bad2b4286ca19a2d007d2bb0e77adcdcff,2023-03-20,wave_eve,21,in_set,admitted,14,0,14,25,14,14,0,14,14,prefix_mod_10,10,14,14,data/measure/manual/libdwarf/2ee326bad2b4286ca19a2d007d2bb0e77adcdcff.json
libjxl,35ad5de736b3f1ea9784113e2e30ea424c251616,2021-10-27,wave_eve,13,not_selected,pending_manual_review,2,0,2,19,2,2,0,2,2,none,0,,,data/measure/manual/libjxl/35ad5de736b3f1ea9784113e2e30ea424c251616.json
libraw,371161a06d7f98f231a001dad4af2dfb463e270a,2021-07-27,wave_eve,9,in_set,admitted,8,0,8,16,7,7,1,8,8,identity_single_source,1,8,8,data/measure/manual/libraw/371161a06d7f98f231a001dad4af2dfb463e270a.json
librawspeed,a17791452ef33b56e59ff9f7047775cf523b63f2,2017-09-24,wave_eve,17,archived,released,8,0,8,21,7,7,1,8,8,prefix_mod_6,6,8,8,data/measure/manual/librawspeed/a17791452ef33b56e59ff9f7047775cf523b63f2.json
libredwg,d0accfd39bb1acc70ed0fbfcbf33e466d389c087,2022-04-16,wave_eve,28,not_selected,pending_manual_review,3,0,3,39,3,3,0,3,3,none,0,,,data/measure/manual/libredwg/d0accfd39bb1acc70ed0fbfcbf33e466d389c087.json
libxml2,4b3452d17123631ec43d532b83dc182c1a638fed,2023-03-15,wave_eve,30,in_set,admitted,9,0,9,54,9,9,0,9,9,prefix_mod_3,3,9,9,data/measure/manual/libxml2/4b3452d17123631ec43d532b83dc182c1a638fed.json
lwan,341dca6b2594eea98df73dcdb96bb80b6ccc9fb9,2019-04-29,wave_eve,9,archived,pending_manual_review,8,0,8,12,8,8,0,8,8,prefix_mod_4,4,8,8,data/measure/manual/lwan/341dca6b2594eea98df73dcdb96bb80b6ccc9fb9.json
mruby,6b3b1012ca480f1e930c4ddeeaebed55e5df4144,2021-10-12,wave_eve,15,not_selected,pending_manual_review,2,0,2,29,3,3,0,3,3,none,0,,,data/measure/manual/mruby/6b3b1012ca480f1e930c4ddeeaebed55e5df4144.json
mupdf,867d6c72a346253837aaa662b34d7945b59665ed,2023-05-30,wave_eve,7,not_selected,pending_manual_review,3,0,3,20,3,3,0,3,3,none,0,,,data/measure/manual/mupdf/867d6c72a346253837aaa662b34d7945b59665ed.json
ndpi,65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320,2019-12-09,wave_eve,31,in_set,admitted,15,0,15,37,15,15,0,15,20,identity_on_densest,1,20,15,data/measure/manual/ndpi/65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320.json
open62541,23131fe8aec1143aceb587386f8d01b656d2a905,2017-11-19,wave_eve,13,not_selected,pending_manual_review,2,0,2,27,2,2,0,2,2,none,0,,,data/measure/manual/open62541/23131fe8aec1143aceb587386f8d01b656d2a905.json
openh264,83a0eae9bbbda5bfe802438109a025a3d7caee10,2020-09-29,measured_sweep,12,in_set,admitted,12,2,14,24,12,12,0,12,12,identity_single_source,1,12,12,data/measure/manual/openh264/83a0eae9bbbda5bfe802438109a025a3d7caee10.json
opensc,2c9dddc7386dbb57844cf17688859e735a783fd8,2022-04-14,wave_eve,34,in_set,admitted,15,0,15,76,15,15,0,15,15,prefix_mod_3,3,15,15,data/measure/manual/opensc/2c9dddc7386dbb57844cf17688859e735a783fd8.json
openthread,639b58eae7628d0aa61e947a2be82704f4dd555e,2018-02-02,wave_eve,21,not_selected,pending_manual_review,4,0,4,21,4,4,0,4,14,prefix,2,14,4,data/measure/manual/openthread/639b58eae7628d0aa61e947a2be82704f4dd555e.json
openvswitch,f5129153e3b12c0b9ca6b355f9062d91a67d2942,2018-07-10,wave_eve,12,in_set,admitted,12,0,12,13,12,12,0,12,12,prefix_mod_6,6,12,12,data/measure/manual/openvswitch/f5129153e3b12c0b9ca6b355f9062d91a67d2942.json
pcl,09e914b0b3b13c07710e814d71df3ff958945ba3,2022-08-25,measured_sweep,12,in_set,admitted,12,0,12,13,12,12,0,12,12,identity_single_source,1,12,12,data/measure/manual/pcl/09e914b0b3b13c07710e814d71df3ff958945ba3.json
pcre2,69fee50e5fbcff87173a9ae09b4b3dc87f10d146,2017-03-09,wave_eve,9,not_selected,pending_manual_review,4,0,4,16,4,4,0,4,4,none,0,,,data/measure/manual/pcre2/69fee50e5fbcff87173a9ae09b4b3dc87f10d146.json
php-src,e5b6f43ec7813392d83ea586b7902e0396a1f792,2021-05-06,wave_eve,13,not_selected,pending_manual_review,6,0,6,27,6,6,0,6,6,none,0,,,data/measure/manual/php-src/e5b6f43ec7813392d83ea586b7902e0396a1f792.json
radare2,ef5c59e0d443c5af25ddfc7e5c33cc6ba1e65f6b,2018-09-18,wave_eve,20,not_selected,pending_manual_review,3,0,3,25,3,3,0,3,3,none,0,,,data/measure/manual/radare2/ef5c59e0d443c5af25ddfc7e5c33cc6ba1e65f6b.json
selinux,38a09b74024bbe1c78639821f3cff3a5ceb73d0d,2021-01-04,measured_sweep,14,in_set,admitted,13,0,13,20,13,13,0,13,13,identity_single_source,1,13,13,data/measure/manual/selinux/38a09b74024bbe1c78639821f3cff3a5ceb73d0d.json
serenity,84996c6567e0231b4199dc9ec597c3e2e8d88bb5,2021-02-23,wave_eve,14,not_selected,pending_manual_review,4,0,4,35,4,4,0,4,4,none,0,,,data/measure/manual/serenity/84996c6567e0231b4199dc9ec597c3e2e8d88bb5.json
sleuthkit,5eabe4d554f09bf31f8a375735c096b1df4de0e8,2021-04-26,wave_eve,14,in_set,admitted,11,0,11,17,11,11,0,11,11,prefix_mod_6,6,11,11,data/measure/manual/sleuthkit/5eabe4d554f09bf31f8a375735c096b1df4de0e8.json
upx,09c5e383223e6f70222b8b04fffdb79919f9c40a,2024-01-09,measured_sweep,9,in_set,admitted,13,0,13,16,13,13,1,14,14,prefix_mod_3,3,14,14,data/measure/manual/upx/09c5e383223e6f70222b8b04fffdb79919f9c40a.json
